[2025-01-20T16:46:22.970428-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:26.085040-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:26.086351-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2025-01-20T16:46:26.519507-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:26.522723-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2025-01-20T16:46:27.029534-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:27.530346-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:27.533688-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2025-01-20T16:46:27.965263-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:28.403860-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:28.407036-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2025-01-20T16:46:28.834947-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2025-01-20T16:46:29.284754-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp82\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
