[2026-06-06T07:55:06.311622-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: HY000 [] []
[2026-06-06T07:55:06.453628-06:00] lfmcontrol.WARNING: Lo sentimos, Datos no encontrados para el gráfico [] []
[2026-06-06T07:55:06.490665-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.498863-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.540926-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.545433-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.614408-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.658599-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.660789-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.693548-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.714268-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.718369-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.769499-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.838507-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.846712-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.881982-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.920939-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:06.925623-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:06.956313-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:07.051735-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:07.057276-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
